=== Demo09.5 调试日志 ===
时间: 2026-01-16 15:27:45
SENSITIVITY: 1.0
MOVE_COOLDOWN: 0.15
DEADZONE: 2
==================================================

[1768577296.961] 误差:(-25,-39) 距离:46 -> SKIP(waiting, chg=3)
[1768577296.995] 误差:(-43,-41) 距离:59 -> MOVE(updated, chg=19)
[1768577297.032] 误差:(-43,-44) 距离:62 -> SKIP(waiting, chg=3)
[1768577297.069] 误差:(-18,-22) 距离:28 -> MOVE(updated, chg=31)
[1768577297.105] 误差:(25,7) 距离:26 -> MOVE(updated, chg=52)
[1768577297.140] 误差:(24,7) 距离:25 -> SKIP(waiting, chg=1)
[1768577297.171] 误差:(42,24) 距离:48 -> MOVE(updated, chg=24)
[1768577297.206] 误差:(18,18) 距离:25 -> MOVE(updated, chg=25)
[1768577297.245] 误差:(18,18) 距离:25 -> SKIP(waiting, chg=0)
[1768577297.277] 误差:(-24,1) 距离:24 -> MOVE(updated, chg=45)
[1768577297.311] 误差:(-24,1) 距离:24 -> SKIP(waiting, chg=0)
[1768577297.351] 误差:(-42,-13) 距离:44 -> MOVE(updated, chg=23)
[1768577297.388] 误差:(-19,-14) 距离:24 -> MOVE(updated, chg=23)
[1768577297.426] 误差:(-18,-14) 距离:23 -> SKIP(waiting, chg=1)
[1768577297.463] 误差:(23,-4) 距离:23 -> MOVE(updated, chg=43)
[1768577297.496] 误差:(42,6) 距离:42 -> MOVE(updated, chg=21)
[1768577297.532] 误差:(42,6) 距离:42 -> SKIP(waiting, chg=0)
[1768577297.572] 误差:(19,9) 距离:21 -> MOVE(updated, chg=23)
[1768577297.606] 误差:(-22,4) 距离:22 -> MOVE(updated, chg=41)
[1768577297.640] 误差:(-22,4) 距离:22 -> SKIP(waiting, chg=0)
[1768577297.678] 误差:(-41,-2) 距离:41 -> MOVE(updated, chg=20)
[1768577297.718] 误差:(-20,-5) 距离:21 -> MOVE(updated, chg=21)
[1768577297.750] 误差:(-20,-5) 距离:21 -> SKIP(waiting, chg=0)
[1768577297.798] 误差:(-20,-6) 距离:21 -> SKIP(waiting, chg=1)
[1768577297.829] 误差:(41,0) 距离:41 -> MOVE(updated, chg=61)
[1768577297.864] 误差:(41,0) 距离:41 -> SKIP(waiting, chg=0)
[1768577297.894] 误差:(41,0) 距离:41 -> SKIP(waiting, chg=0)
[1768577297.936] 误差:(0,0) 距离:0 -> SKIP(deadzone)
[1768577297.974] 误差:(-2,0) 距离:2 -> SKIP(deadzone)
[1768577298.006] 误差:(-26,0) 距离:26 -> MOVE(ready)
[1768577298.039] 误差:(-74,-1) 距离:74 -> MOVE(updated, chg=48)
